時間,毛損益,淨損益,累積淨損益,交易成本,滑價,交易稅,平倉權益數,平倉交易K棒數,DD,MDD
2018-03-21,20409.999999999854,19921.292999999856,19921.292999999856,488.7069999999994,400,88.70699999999943,10019921.293,27,135019.63822562163,144764.89034854434
2019-02-12,150297.99999999994,149814.73739999995,169736.0303999998,483.2625999999891,400,83.2625999999891,10169736.030399999,215,109933.48303511705,226825.87644471187
2019-03-12,-14020.000000000073,-14502.074560000074,155233.95583999975,482.07456000000093,400,82.07456000000093,10155233.955839999,1,129934.6062849097,226825.87644471187
2019-05-17,10673.999999999796,10190.144999999797,165424.10083999953,483.8549999999998,400,83.85499999999979,10165424.100839999,41,122975.54716886504,226825.87644471187
2019-06-05,-402.00000000004366,-885.9880400000437,164538.11279999948,483.98804,400,83.98804000000001,10164538.112799998,1,133446.0082737469,226825.87644471187
2019-09-17,-37124.00000000016,-37610.528320000165,126927.58447999932,486.52832000000217,400,86.52832000000217,10126927.584479999,46,154835.6755412996,226825.87644471187
2019-10-02,-18063.99999999994,-18551.20607999994,108376.37839999938,487.2060800000014,400,87.2060800000014,10108376.378399998,1,171136.86176806994,226825.87644471187
2019-12-30,232513.99999999994,232021.89179999995,340398.27019999933,492.1081999999842,400,92.10819999998421,10340398.270199997,58,24283.76036313974,226825.87644471187
