時間,DD,MDD
2010-01-04 13:45:00,0.0,0.0
2010-01-05 08:45:00,0.0,0.0
2010-01-05 09:00:00,0.0,0.0
2010-01-05 09:15:00,0.0,0.0
2010-01-05 09:30:00,0.0,0.0
2010-01-05 09:45:00,1432.9679999500515,1432.9679999500515
2010-01-05 10:00:00,7832.967999950051,7832.967999950051
2010-01-05 10:15:00,10832.967999950051,10832.967999950051
2010-01-05 10:30:00,19232.96799995005,19232.96799995005
2010-01-05 10:45:00,14232.96799995005,19232.96799995005
2010-01-05 11:00:00,16632.96799995005,19232.96799995005
2010-01-05 11:15:00,13032.967999950051,19232.96799995005
2010-01-05 11:30:00,10632.967999950051,19232.96799995005
2010-01-05 11:45:00,11232.967999950051,19232.96799995005
2010-01-05 12:00:00,8832.967999950051,19232.96799995005
2010-01-05 12:15:00,9832.967999950051,19232.96799995005
2010-01-05 12:30:00,11632.967999950051,19232.96799995005
2010-01-05 12:45:00,10832.967999950051,19232.96799995005
2010-01-05 13:00:00,14432.96799995005,19232.96799995005
2010-01-05 13:15:00,14232.96799995005,19232.96799995005
2010-01-05 13:30:00,13432.967999950051,19232.96799995005
2010-01-05 13:45:00,13632.967999950051,19232.96799995005
2010-01-06 08:45:00,13032.967999950051,19232.96799995005
2010-01-06 09:00:00,12832.967999950051,19232.96799995005
2010-01-06 09:15:00,7432.96799995005,19232.96799995005
2010-01-06 09:30:00,3832.9679999500513,19232.96799995005
2010-01-06 09:45:00,2632.9679999500513,19232.96799995005
2010-01-06 10:00:00,10232.96799995005,19232.96799995005
2010-01-06 10:15:00,7432.96799995005,19232.96799995005
2010-01-06 10:30:00,3432.9679999500513,19232.96799995005
2010-01-06 10:45:00,4432.967999950051,19232.96799995005
2010-01-06 11:00:00,0.0,19232.96799995005
2010-01-06 11:15:00,0.0,19232.96799995005
2010-01-06 11:30:00,0.0,19232.96799995005
2010-01-06 11:45:00,0.0,19232.96799995005
2010-01-06 12:00:00,0.0,19232.96799995005
2010-01-06 12:15:00,0.0,19232.96799995005
2010-01-06 12:30:00,1799.9933696956227,19232.96799995005
2010-01-06 12:45:00,0.0,19232.96799995005
2010-01-06 13:00:00,0.0,19232.96799995005
2010-01-06 13:15:00,0.0,19232.96799995005
2010-01-06 13:30:00,0.0,19232.96799995005
2010-01-06 13:45:00,0.0,19232.96799995005
2010-01-07 08:45:00,0.0,19232.96799995005
2010-01-07 09:00:00,399.99680661909434,19232.96799995005
2010-01-07 09:15:00,0.0,19232.96799995005
2010-01-07 09:30:00,3199.966133107231,19232.96799995005
2010-01-07 09:45:00,5999.936499576058,19232.96799995005
2010-01-07 10:00:00,8999.904749364086,19232.96799995005
2010-01-07 10:15:00,7999.915332768078,19232.96799995005
2010-01-07 10:30:00,7199.923799491268,19232.96799995005
2010-01-07 10:45:00,8399.911099406481,19232.96799995005
2010-01-07 11:00:00,6999.9259161720665,19232.96799995005
2010-01-07 11:15:00,3999.957666384039,19232.96799995005
2010-01-07 11:30:00,3199.966133107231,19232.96799995005
2010-01-07 11:45:00,2599.972483149625,19232.96799995005
2010-01-07 12:00:00,4999.947082980048,19232.96799995005
2010-01-07 12:15:00,7399.92168281047,19232.96799995005
2010-01-07 12:30:00,6999.9259161720665,19232.96799995005
2010-01-07 12:45:00,12399.868765790521,19232.96799995005
2010-01-07 13:00:00,13599.856065705731,19232.96799995005
2010-01-07 13:15:00,18799.80103200498,19232.96799995005
2010-01-07 13:30:00,19199.796798643383,19232.96799995005
2010-01-07 13:45:00,19599.792565281787,19599.792565281787
2010-01-08 08:45:00,17799.811615408973,19599.792565281787
2010-01-08 09:00:00,17799.811615408973,19599.792565281787
2010-01-08 09:15:00,12233.01853166945,19599.792565281787
2010-01-08 09:30:00,12233.01853166945,19599.792565281787
2010-01-08 09:45:00,12233.01853166945,19599.792565281787
2010-01-08 10:00:00,12233.01853166945,19599.792565281787
2010-01-08 10:15:00,12233.01853166945,19599.792565281787
2010-01-08 10:30:00,12233.01853166945,19599.792565281787
2010-01-08 10:45:00,12233.01853166945,19599.792565281787
2010-01-08 11:00:00,12233.01853166945,19599.792565281787
2010-01-08 11:15:00,12233.01853166945,19599.792565281787
2010-01-08 11:30:00,10266.15134796871,19599.792565281787
2010-01-08 11:45:00,12466.12806447993,19599.792565281787
2010-01-08 12:00:00,14866.102664310354,19599.792565281787
2010-01-08 12:15:00,13866.113247714344,19599.792565281787
2010-01-08 12:30:00,15666.094197587161,19599.792565281787
2010-01-08 12:45:00,12866.123831118333,19599.792565281787
2010-01-08 13:00:00,13066.121714437537,19599.792565281787
2010-01-08 13:15:00,12466.12806447993,19599.792565281787
2010-01-08 13:30:00,10466.14923128791,19599.792565281787
2010-01-08 13:45:00,9466.159814691902,19599.792565281787
2010-01-11 08:45:00,12066.132297841526,19599.792565281787
2010-01-11 09:00:00,12266.13018116073,19599.792565281787
2010-01-11 09:15:00,15066.100547629558,19599.792565281787
2010-01-11 09:30:00,7666.178864819086,19599.792565281787
2010-01-11 09:45:00,4866.208498350258,19599.792565281787
2010-01-11 10:00:00,4066.216965073451,19599.792565281787
2010-01-11 10:15:00,1266.2465986046234,19599.792565281787
2010-01-11 10:30:00,3066.2275484774414,19599.792565281787
2010-01-11 10:45:00,4266.214848392652,19599.792565281787
2010-01-11 11:00:00,2266.236015200633,19599.792565281787
2010-01-11 11:15:00,66.25929868941195,19599.792565281787
2010-01-11 11:30:00,0.0,19599.792565281787
2010-01-11 11:45:00,2399.9732393719914,19599.792565281787
2010-01-11 12:00:00,0.0,19599.792565281787
